code,ciudad,pais,annual_millions,annual_year,asientos,asientos_habitantes,autos_hab,average_buses,average_buses.1,average_buses.2,brand_logo,capital_day,capital_km,ciclocarriles_km,ciclovias_km,citys_ppm,citywide_fatalities,citywide_injuries,citywide_modes,clase_organizacion,corridors,costo_automovil,costo_bus,costo_bus2,costo_bus3,costo_motocicleta,daily_day,densidad_km2,depots,energia_gep,equipment_million,fare_system,feeder_routes,fleet_buses,fleet_buses.1,fleet_buses.2,fleet_buses.3,flota_articulado,flota_automovil,flota_barcos,flota_biarticulado,flota_colectivos,flota_estandar,flota_individual,flota_jeeps,flota_microbus,flota_motocicleta,flota_vans,fuel_buses,fuel_buses.1,fuel_buses.2,fuel_buses.3,fuel_buses.4,fuel_buses.5,gdp_us,infrastructure_km,instrumento_legal,integration_terminals,intersecciones_semaforicas,lane_stations,lane_ways,millones_colectivo,millones_individual,millones_pie,millones_total,modal_motorized,modal_transport,modal_transport.1,motos_hab,operaciones_exclusivas,operaciones_pico,operaciones_placa,operaciones_reversibles,operaciones_semana,operating_speed,operational_ipk,operations_center,otra_km,overtaking_lanes,patrimonio_auto3,patrimonio_hab,patrimonio_moto3,patrimonio_publico3,patrimonio_rieles3,patrimonio_tc3,patrimonio_total,patrimonio_vias3,peak_direction,peak_hour,pib_hab,pib_usd,planning_million,poblacion,population_area,population_area.1,population_city,position_doors,position_lanes,position_lanes.1,preboard_collection,prioridad_1,prioridad_2,propulsion_buses,propulsion_buses.1,propulsion_buses.2,real_information,recaudacion_ano,recursos_ferreo,recursos_neumaticos,salario_usd,sistema_km,standard_us,station_level,station_m,stations,subsidios_ano,subsidios_recaudo,superficie_km2,system_km,system_name,tarifa_metro,tarifa_microbus,tarifa_minimo,tarifa_omnibus,tarifa_tranvia,tarifa_tren,total_fleet,total_km,transfer_stations,transit_agency,trunk_lines,typical_type,unique_livery,user_rating,vagones_metro,vagones_tranvia,vagones_tren,viaje_bici,viaje_colectivo,viaje_individual,viaje_total,vias_acera,vias_brt,vias_via,victimas_fatales,victimas_hab,year_commenced
AR-BUE,Buenos Aires,Argentina,85.4645444874857,260700000,1589648,100.8024260681,252.5646117093,,,,Yes,,,53,87,,,,Yes,Empresa privada,6,1.0186350612,0.3508361595,2.9034494694,0.8835029957,0.3099647979,869000,4061.2768239276,,622.6911458166,,Yes,0,,,0,0,52,4000222,,,,18498,91591,,,940187,1711,,,,,,,12751.4,6.00070424543826,Licencia,2,6096,Concrete,Asphalt & Concrete,12.4991735105,16.4571128081,5.4203418204,34.376628139,9,44.7,46.3,59.6189539718,14.96,3.5,,0,140,24,,All,0,Partial,58480.6109944303,8456.7790670278,1979.1100035321,2971.6453149042,37526,409.92,133362.880782876,31995.5944700099,3500,30,4797.822033359,75.6613555564,,15769938,15594428,51,2891082,Right,Median & Curbside,Median,Partial,0.3111548318,0.2022506407,,,,Partial,1407.6491311174,16717,104770,514.5597006198,44993.677,0.468324535522416,Low-level platform,503.092783505155,97,3376.1,239.8395967694,3883,48.8,Metrobus,0.6431996258,,0.000681818181791946,0.3508361595,0.233890773,0.268974389,,,0,Metrobus,71,Diesel,No,,637,17,1757,0.4005806432,0.792594973,0.9867079281,2.1798835443,14.96,,76,549,3.46619507,2011
AR-COR,Córdoba,Argentina,6.77984063585092,17400000,,,,,,,Yes,,,,,,,,,,1,,,,,,58000,,,,,,,,,,,,,,,,,,,,,,,,,,,,12751.4,,,2,,Concrete,Concrete,,,,,29.9,40.3,29.8,,,,,,,,3,,,None,,,,,,,,,,,,,,,3308876,20,1329604,Right,Median,,None,,,,,,Yes,,,,,,0.556637162220929,"On-street, no level boarding",588.888888888889,9,,,,5.3,Solo Bus,,,,,,,,,,Secretaría de Transporte y Tránsito,13,,No,,,,,,,,,,,,,,2014
AR-ROS,Rosario,Argentina,,,50390,38.1534892384,264.5758832031,,,,,,,,62,,,,,Pública/mixta/privada,,0.9667482477,0.5841121495,1.655073,0.429093,0.2506384346,,8808.185363858,,128.2199027717,,,,,,,,4,351134,,,,766,4395,,,175557,,,,,,,,,,Concesión/Permisión,,801,,,0.5547167487,0.882418915,0.3833391433,1.8204748071,,,,132.9254238982,,,,,28,,,,41,,5957.3821051402,6861.3021927568,266.6169392523,138.2442408651,,20,9061.8453094134,2679.6020241559,,,22137.1858259674,29.2369797897,,1320718,,,,,,,,4.1085961804,0.3988928331,,,,,134.1799778659,0,3080,514.0186915888,2506.939,,,,,59,43.9707927653,149.9421214975,,,,,0.00113636363629997,0.5841121495,,,,,,,,,,,,,,0.4084092081,0.4200115004,0.5499771078,1.3783978163,10,,,73,5.53,
BO-SCS,S. C. Sierra,Bolivia,,,141111,84.8815540475,189.6697181783,,,,,,,11,0,,,,,Cooperativas y sindicatos,,0.3794202899,0.25,1.5176811594,0.9485507246,0.2371376812,,3933.1571063988,,494.0584027826,,,,,,,,,332058,,,7026,10,6966,,3765,108179,4399,,,,,,,,,Autorizacion temporal,,136,,,0.7787440598,0.6512812536,0.46218936,1.8922146734,,,,65.0721888109,0,0,,0,0,,,,0,,4150.725,4355.4211197562,282.2060869565,372.570290859,,25.38,7240.6524188543,2409.7710410387,,,2327.89516170751,3.87,,1662446,,,,,,,,0.2627179365,0.3033197994,,,,,16.1971451788,0,34327,238.8405797101,4187,,,,,,,422.6747,,,,,0.00104672330097107,0.25,,,,,,,,,,,,,,0.2780176679,0.4779192487,0.3706902239,1.1266271406,12.69,,,351,20.0489285247,
BR-BEL,Belém,Brasil,19.8415117342274,30000000,,,,,,,,,,,,S10,113,,,,1,,,,,,100000,,,,,,,,,,0,,,,,,,,,,,,,,,,,,8538.6,,,,,,Concrete,,,,,34,40.3,25.7,,,,,,,27.6923076923077,,,,,,,,,,,,,,,,,,,2360250,661.834849316728,1439561,Right,Median,,,,,,,,,,,,,,0.944833892106065,,,,,,,6,,,,,,,,120,,,,,,,Average,,,,,,,,,,,,,2014
BR-BHZ,Belo Horizonte,Brasil,271.500026516306,314212200,641504,114.3572069929,341.4761263894,4,,,Yes,515,,,,S10,524,,Yes,Empresa privada,7,1.0685944501,1.0730825709,0.9958175439,0.2845192982,0.3053127,1047374,9302.9087893864,,383.1079108546,257.3,Yes,41,3043,23,0,0,439,1915563,,,,6403,8918,,697,463584,,Diesel,0.45,,,,,8538.6,11.7,Concesión,4,1405,Asphalt & Concrete,Asphalt & Concrete,3.2753302151,4.318678055,5.0385420409,12.6325503111,35.2,28.1,36.7,82.6404589455,4,0,,0,0.5,17.58,2.38,All,,Partial,28002.0981669957,7290.2099633481,1299.6909904598,1014.4571874877,1124,283,40895.5554817357,9172.3091367924,35000,500,12258.5287717567,68.7661049586,,5609654,4963420,523.98205331222,2502557,Left & Right,Curbside & Median,,Partial,0.4867593169,0.3145958653,Combustion,,,Partial,1079.6043628555,764,29455,272.6006250235,14463,1.2343797622676,"High level platform & On-street, no level boarding",479.268292682927,82,68.893,6.3813191545,603,39.3,MOVE,0.34,1.0730825709,0.00393646408847189,1.0730825709,,,3066,,0,BHTrans,9,Diesel,Yes,,,,100,0.9224250363,0.5838738388,0.7456315134,2.2519303884,21.5,24,,524,9.3410395721,1975
BR-BSB,Brasília,Brasil,11.4248704663212,15300000,215080,75.4040504606,379.9957354351,,,,No,,,,,S1800,542,,,Empresa privada,2,1.1711736135,0.7530404006,1.55526,0.44436,0.3346210324,51000,11363.5791402733,,400.2269652149,,Yes,12,,,0,0,58,1083889,,,,2322,6505,,412,203783,676,,,,,,,8538.6,,Concesión,2,1023,Asphalt & Concrete,Asphalt & Concrete,1.3850344944,1.8390306423,0.8667291991,4.0907943358,23,36.2,40.8,71.4432727782,1,0,,0,38.5,,1.16,None,,Partial,15844.5182744955,9444.3748491163,571.3191990473,371.4207659802,3400,459.8,26938.8703771235,6291.8121376006,,200,30684.4955571363,87.5235959613,,2852372,2852372,491.624090368441,2914830,Left & Right,Curbside & Median,,Partial,8.8314753782,1.8044309921,,,,None,305.8363820563,1063,13872,272.6006250235,4982.18,1.0667479427004,"Low-level platform & On-street, no level boarding",1968,25,114.6376816508,37.483336966,251.01,49.2,,1.13,0.7530404006,0.00276243093916268,0.7530404006,,,139,,0,DFTrans,4,Diesel,No,,128,,,0.3376251216,0.4855728826,0.6447373072,1.4679353114,54.9,35,,540,18.9316120057,2011
BR-CCM,Criciúma,Brasil,2.47948491313623,3141000,,,,,,,No,,,,,S500,43,,,,1,,,,,,10470,,,,,Yes,,19,1,0,0,,,,,,,,,,,,,,,,,,8538.6,,,2,,Concrete,Asphalt,,,,,9.6,46.3,44.1,,,,,,,40,,None,,None,,,,,,,,,,21,,,,,396366,176.78,206918,Left,Median,,None,,,,,,None,,,,,,1.12770496799756,High level platform,500,16,,,,8,,,,,,,,,,1,Secretaria de Planejamento e Desenvolvimento Econômico do Município de Criciúma,3,Diesel,Yes,Good,,,,,,,,,,,,,1996
BR-CPQ,Campinas,Brasil,57.6043889058214,60000000,,,,,,,Yes,,,,,S10,231,,,,3,,,,,,200000,,,,,Yes,0,,,3,0,,,,,,,,,,,,,,,,,,8538.6,,,0,,Asphalt & Concrete,Asphalt,,,,,27.3,28.9,43.8,,,,,,,,1.75,None,,None,,,,,,,,,,122,,,,,2920130,801.1,1164098,Left & Right,Median,,None,,,,,,None,,,,,,1.37153306918622,"High level platform & On-street, no level boarding",557.264957264957,20,,,,13.4,,,,,,,,,,0,EMDEC,0,Diesel,No,Average & Excellent,,,,,,,,,,,,,1986
BR-CWB,Curitiba,Brasil,154.099740932643,169950000,297661,87.1855219556,356.0397470308,,4.7,4.7,Yes,,,,,S10,320,,No,Empresa privada,7,1.0626906134,1.0166045408,1.0453333333,0.2986666667,0.3036258895,566500,8033.4007859009,,295.67559396,,Yes,,0,34,145,0,547,1215561,,304,,1756,4402,,342,215354,,,,Biodiesel & Diesel,1.2,Biodiesel & Diesel,1.12,8538.6,,Concesión,15,1313,Asphalt & Concrete,Asphalt & Concrete,1.7047863933,2.2529627062,2.1096219031,6.0673710027,28,46,26,63.0774198505,0,0,,0,1,,1.99,Partial,,Partial,17769.3189140933,7405.9233367636,603.7586682566,627.7697210431,,819,25284.6739528945,5464.8266495015,20500,67,14370.5026380482,49.0625486141,,3414115,3168707,179.55,1879355,Right,Curbside & Median,,Partial,2.1004990136,0.9690147383,,Combustion,Combustion,None,529.6525851403,0,11756,272.6006250235,8617,1.29533678756477,"High level platform & On-street, no level boarding",699.056603773585,106,,,424.99,74.1,Rede Integrada de Transporte,,1.0166045408,0.00372928176783293,1.0166045408,,,179,,8,URBS,11,Diesel,Yes,,,,,0.7192618187,0.4993347891,0.558546518,1.7771431257,2.5,81.4,,276,8.0840862127,1974
